0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:33 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:33 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:33 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:44 +0900] "GET /shopping22/user/main.jsp HTTP/1.1" 200 13737
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:44 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:46 +0900] "GET /shopping22/user/logoutProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:46 +0900] "GET /shopping22/user/main.jsp HTTP/1.1" 200 13516
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:46 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:47 +0900] "GET /shopping22/user/loginView.jsp HTTP/1.1" 200 13975
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:51 +0900] "POST /shopping22/user/loginProc.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:52 +0900] "GET /shopping22/user/loginView.jsp HTTP/1.1" 200 13975
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:56 +0900] "POST /shopping22/user/loginProc.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:56 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:56 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:56 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:01 +0900] "GET /shopping22/user/logoutProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:01 +0900] "GET /shopping22/user/main.jsp HTTP/1.1" 200 13516
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:01 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:04 +0900] "GET /shopping22/user/loginView.jsp HTTP/1.1" 200 13975
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:05 +0900] "GET /shopping22/user/userJoinView.jsp HTTP/1.1" 200 20666
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:10 +0900] "GET /shopping22/user/main.jsp HTTP/1.1" 200 13516
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:10 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:41:13 +0900] "GET /shopping22/user/loginView.jsp HTTP/1.1" 200 13975
